package,model,obj,vertices,faces,uvs,normals,materialSlots,sizeX,sizeY,sizeZ,minY,maxY,warnings
"BG_RAD_KAMEN_A","bg_rad_kamen_chair01_sm_cjy","Models/BG_RAD_KAMEN_A/bg_rad_kamen_chair01_sm_cjy.obj",17343,19547,17343,17343,4,2.54,6.297,2.857,-0.048,6.25,""
"BG_RAD_KAMEN_A","bg_rad_kamen_chair01a_sm_jjh","Models/BG_RAD_KAMEN_A/bg_rad_kamen_chair01a_sm_jjh.obj",1706,1554,1706,1706,1,4.085,0.334,3.782,-0.013,0.321,""
"BG_RAD_KAMEN_A","bg_rad_kamen_chair01b_sm_cjy","Models/BG_RAD_KAMEN_A/bg_rad_kamen_chair01b_sm_cjy.obj",720,652,720,720,1,0.64,1.887,1.174,0.001,1.889,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor01_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor01_sm.obj",4561,5654,4561,4561,2,8.726,2.417,8.726,-2.417,0,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor02_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor02_sm.obj",2507,3252,2507,2507,4,6.767,2.091,4.363,-2.091,0,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor03_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor03_sm.obj",4896,5052,4896,4896,2,49.236,1.865,50.774,-0.933,0.933,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor03lowpoly_sm_jjy","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor03lowpoly_sm_jjy.obj",1556,1510,1556,1556,2,49.236,1.765,50.774,-0.882,0.882,"lowpoly_variant"
"BG_RAD_KAMEN_A","bg_rad_kamen_floor04_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor04_sm.obj",12078,12632,12078,12078,2,81.61,17.823,86.535,0.855,18.678,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor04lowpoly_sm_rsh","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor04lowpoly_sm_rsh.obj",3039,2526,3039,3039,2,81.497,17.786,86.513,0.855,18.641,"lowpoly_variant"
"BG_RAD_KAMEN_A","bg_rad_kamen_floor05_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor05_sm.obj",11374,11324,11374,11374,4,15.083,0.17,15.537,-0.149,0.021,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor05a_sm_hhk","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor05a_sm_hhk.obj",3597,2924,3597,3597,2,14.9,0.12,15.7,-0.115,0.005,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor05b_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor05b_sm.obj",421,402,421,421,2,12.04,0.154,12.04,-0.149,0.005,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor05c_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor05c_sm.obj",5208,4630,5208,5208,4,6.418,1.36,9.096,-1.295,0.065,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor05d_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor05d_sm.obj",7582,4617,7582,7582,4,9.092,1.299,6.431,-1.235,0.065,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor05e_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor05e_sm.obj",22901,8410,22901,22901,4,6.029,0.516,9.096,-0.431,0.084,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor05f_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor05f_sm.obj",22879,8409,22879,22879,4,9.092,0.516,6.039,-0.431,0.084,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor05g_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor05g_sm.obj",66,24,66,66,1,6.12,0.273,8.792,-0.273,0,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor05h_sm","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor05h_sm.obj",66,24,66,66,1,8.715,0.273,6.12,-0.273,0,""
"BG_RAD_KAMEN_A","bg_rad_kamen_floor06_sm_psy","Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor06_sm_psy.obj",5913,5542,5913,5913,3,37.789,2.03,37.789,-2,0.03,""
"BG_RAD_KAMEN_B","bg_rad_kamen_deco01_sm_snark","Models/BG_RAD_KAMEN_B/bg_rad_kamen_deco01_sm_snark.obj",3854,4994,3854,3854,2,0.6,8.157,2.799,-3.068,5.088,""
"BG_RAD_KAMEN_B","bg_rad_kamen_deco02_sm_kjs","Models/BG_RAD_KAMEN_B/bg_rad_kamen_deco02_sm_kjs.obj",1524,1962,1524,1524,1,1.324,5.428,1.319,-0.328,5.1,""
"BG_RAD_KAMEN_B","bg_rad_kamen_deco02a_sm_kjs","Models/BG_RAD_KAMEN_B/bg_rad_kamen_deco02a_sm_kjs.obj",1524,1962,1524,1524,1,1.674,5.256,1.319,-0.328,4.927,""
"BG_RAD_KAMEN_B","bg_rad_kamen_deco02b_sm_kjs","Models/BG_RAD_KAMEN_B/bg_rad_kamen_deco02b_sm_kjs.obj",5333,6323,5333,5333,1,1.746,4.139,1.716,-0.235,3.904,""
"BG_RAD_KAMEN_B","bg_rad_kamen_deco03_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_deco03_sm.obj",1500,1995,1500,1500,1,0.164,0.08,0.132,-0.015,0.064,""
"BG_RAD_KAMEN_B","bg_rad_kamen_floor07_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor07_sm.obj",8324,15742,8324,8324,3,196.637,196.964,196.637,-196.952,0.012,"huge_smooth_cap_candidate"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor07a_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor07a_sm.obj",4549,7245,4549,4549,1,120.74,20.034,106.697,-19.959,0.075,""
"BG_RAD_KAMEN_B","bg_rad_kamen_floor07b_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor07b_sm.obj",14776,5208,14776,14776,1,179.264,50.968,184.214,-67.757,-16.789,""
"BG_RAD_KAMEN_B","bg_rad_kamen_floor07c_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor07c_sm.obj",2997,5056,2997,2997,4,42.822,21.23,42.738,-21.227,0.003,""
"BG_RAD_KAMEN_B","bg_rad_kamen_floor07d_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor07d_sm.obj",1877,3100,1877,1877,2,49.159,27.46,47.883,-34.972,-7.512,""
"BG_RAD_KAMEN_B","bg_rad_kamen_floor07e_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor07e_sm.obj",1425,2279,1425,1425,2,44.756,16.572,42.725,-46.98,-30.408,""
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08_sm.obj",933,846,933,933,4,36.843,0.032,32.301,0,0.032,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08a_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08a_sm.obj",223,204,223,223,1,36.843,0.006,32.301,0,0.006,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08b_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08b_sm.obj",715,642,715,715,3,24.89,0.021,23.959,0.01,0.032,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08c_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08c_sm.obj",711,640,711,711,2,24.89,0.019,23.959,0.01,0.029,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08d_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08d_sm.obj",4,2,4,4,1,10.5,0,10.5,0.032,0.032,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08e_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08e_sm.obj",231,232,231,231,1,15.527,0,15.517,0.029,0.029,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08f_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08f_sm.obj",480,408,480,480,1,24.89,0.008,23.959,0.01,0.018,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08g_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08g_sm.obj",79,36,79,79,1,3.742,0,3.241,0,0,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08h_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08h_sm.obj",181,168,181,181,1,11.871,0,10.281,0,0,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor08i_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor08i_sm.obj",229,216,229,229,1,10.422,0,9.026,0,0,"very_flat_overlay"
"BG_RAD_KAMEN_B","bg_rad_kamen_floor09_sm_cjy","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor09_sm_cjy.obj",312,272,312,312,1,5.649,0.241,5.649,-0.12,0.12,""
"BG_RAD_KAMEN_B","bg_rad_kamen_floor10_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_floor10_sm.obj",3189,3050,3189,3189,1,4.357,0.1,4.357,-0.1,0,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar07_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar07_sm.obj",4731,4350,4731,4731,2,1.72,7.431,1.49,0,7.431,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar07a_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar07a_sm.obj",1119,846,1119,1119,2,1.72,0.58,1.49,0,0.58,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar07b_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar07b_sm.obj",1796,1608,1796,1796,1,1.358,2.118,1.307,0,2.118,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar07c_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar07c_sm.obj",926,936,926,926,1,1.32,3.471,1.294,0,3.471,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar07d_sm","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar07d_sm.obj",1562,1470,1562,1562,1,1.617,1.376,1.43,0,1.376,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar08_sm_alchemy","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar08_sm_alchemy.obj",3979,3808,3979,3979,2,5.149,15.819,6.73,0,15.819,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar08a_sm_alchemy","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar08a_sm_alchemy.obj",1462,1346,1462,1462,1,5.149,2.467,6.568,0.002,2.469,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar09_sm_hhk","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar09_sm_hhk.obj",8490,10692,8490,8490,2,1.64,9.6,1.8,-4.8,4.8,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar09a_sm_cjy","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar09a_sm_cjy.obj",950,970,950,950,2,0.118,0.738,0.149,-0.094,0.644,""
"BG_RAD_KAMEN_B","bg_rad_kamen_pillar09lowpoly_sm_hhk","Models/BG_RAD_KAMEN_B/bg_rad_kamen_pillar09lowpoly_sm_hhk.obj",1599,1600,1599,1599,2,1.64,9.6,1.8,-4.8,4.8,"lowpoly_variant"
"BG_RAD_KAMEN_B","bg_rad_kamen_wall01_sm_alchemy","Models/BG_RAD_KAMEN_B/bg_rad_kamen_wall01_sm_alchemy.obj",3586,2996,3586,3586,2,0.921,5.12,5.12,0,5.12,""
"BG_RAD_KAMEN_C","bg_rad_kamen_floor11_sm","Models/BG_RAD_KAMEN_C/bg_rad_kamen_floor11_sm.obj",29,24,29,29,1,5.982,0,6.005,0.048,0.048,"very_flat_overlay"
"BG_RAD_KAMEN_C","bg_rad_kamen_floor11a_sm","Models/BG_RAD_KAMEN_C/bg_rad_kamen_floor11a_sm.obj",12,8,12,12,1,4.677,0,2.219,0.056,0.056,"very_flat_overlay"
"BG_RAD_KAMEN_C","bg_rad_kamen_floor12_sm","Models/BG_RAD_KAMEN_C/bg_rad_kamen_floor12_sm.obj",6188,3560,6188,6188,3,24.792,0.2,24.77,-0.18,0.02,""
"BG_RAD_KAMEN_C","bg_rad_kamen_floor12a_sm","Models/BG_RAD_KAMEN_C/bg_rad_kamen_floor12a_sm.obj",5964,3368,5964,5964,2,24.792,0.2,24.77,-0.18,0.02,""
"BG_RAD_KAMEN_C","bg_rad_kamen_pillar01_sm_cjy","Models/BG_RAD_KAMEN_C/bg_rad_kamen_pillar01_sm_cjy.obj",1175,1280,1175,1175,1,0.453,5.6,1.097,0,5.6,""
"BG_RAD_KAMEN_C","bg_rad_kamen_pillar01a_sm_cjy","Models/BG_RAD_KAMEN_C/bg_rad_kamen_pillar01a_sm_cjy.obj",2278,2512,2278,2278,1,0.453,11.201,1.097,-5.6,5.6,""
"BG_RAD_KAMEN_C","bg_rad_kamen_pillar02_sm_hhk","Models/BG_RAD_KAMEN_C/bg_rad_kamen_pillar02_sm_hhk.obj",15964,15000,15964,15964,1,1.6,9.6,1.44,-4.8,4.8,""
"BG_RAD_KAMEN_C","bg_rad_kamen_pillar02a_sm_cjy","Models/BG_RAD_KAMEN_C/bg_rad_kamen_pillar02a_sm_cjy.obj",3469,3038,3469,3469,2,0.143,1.331,0.368,-0.663,0.669,""
"BG_RAD_KAMEN_C","bg_rad_kamen_pillar02lowpoly_sm_hhk","Models/BG_RAD_KAMEN_C/bg_rad_kamen_pillar02lowpoly_sm_hhk.obj",4676,3012,4676,4676,1,1.6,9.597,1.44,-4.797,4.8,"lowpoly_variant"
"BG_RAD_KAMEN_C","bg_rad_kamen_pillar03_sm_csw","Models/BG_RAD_KAMEN_C/bg_rad_kamen_pillar03_sm_csw.obj",1347,1896,1347,1347,1,0.938,4.285,0.228,-2.142,2.142,""
"BG_RAD_KAMEN_C","bg_rad_kamen_pillar03a_sm_cjy","Models/BG_RAD_KAMEN_C/bg_rad_kamen_pillar03a_sm_cjy.obj",1121,1492,1121,1121,2,0.116,1.356,0.456,-0.625,0.731,""
